SDTrimSP: VERSION 6.03    17.06.2025
SDTrimSP-Ar-Ti -Panjan-ver3                                                     
          20           0   maxnumber history, 0...only projectiles
    i_traj     ihist     iproj    parent     ncoll   species       ibn  termflag
    i_traj     ihist     iproj    parent     ncoll   species       ibn  termflag
        13         1        14         0         3         1         6         2
         k              x              y              z          ptime         energy
         0 -4.3949127E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.0000000E+02
         1  7.6012437E-01  1.1446482E-15  0.0000000E+00  4.5247679E+00  1.2282566E+02
         2  1.6184566E+00  1.7877815E+00 -1.0631656E+00  1.3803267E+01  8.4314871E+01
         3  1.7496072E+00  3.1287688E+00 -2.9028288E+00  2.5165695E+01  2.0738111E+01
         4 -2.9181481E-01  5.1170575E+00 -2.3798429E+00  2.5165695E+01  1.6372858E+01
         5 -5.9765651E+00  7.9405931E+00  2.1358997E+00  2.5165695E+01  1.6372858E+01
    i_traj     ihist     iproj    parent     ncoll   species       ibn  termflag
        14         1        15         0        20         1        21         1
         k              x              y              z          ptime         energy
         0 -4.3949127E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.0000000E+02
         1  5.7491080E-02  9.8863224E-16  0.0000000E+00  5.1033244E+00  4.9124910E+02
         2  2.6253613E+00  1.5342829E-01  3.0181237E-01  1.0433229E+01  4.8026428E+02
         3  5.1023100E+00  3.1205816E-01  4.4330074E-01  1.5608647E+01  4.3710261E+02
         4  7.5421093E+00  1.0777679E+00  2.0385346E-02  2.1264937E+01  4.0359087E+02
         5  9.7718901E+00  2.5249676E+00 -2.2749185E-01  2.7326971E+01  3.9395886E+02
         6  1.2010620E+01  3.5904480E+00 -5.8168149E-01  3.3084276E+01  3.6274465E+02
         7  1.4522789E+01  4.0266281E+00 -5.2769995E-01  3.9195617E+01  3.2008758E+02
         8  1.6930035E+01  4.9904562E+00  1.8425961E-01  4.6053403E+01  3.1101981E+02
         9  1.9145935E+01  6.0209355E+00  5.3928987E-01  5.2444943E+01  2.7201700E+02
        10  2.0968709E+01  7.7517557E+00  2.6253466E-01  5.9445906E+01  2.2253427E+02
        11  2.3173706E+01  9.1204213E+00  1.0016180E+00  6.7704856E+01  2.1262214E+02
        12  2.4939375E+01  1.0886541E+01  1.4050725E+00  7.5625342E+01  1.9705232E+02
        13  2.6917335E+01  1.2002047E+01  2.0817908E+00  8.3336833E+01  1.1082046E+02
        14  2.7452402E+01  1.3330621E+01  4.0829545E+00  9.4023769E+01  8.2632225E+01
        15  2.9266308E+01  1.4158622E+01  5.8025643E+00  1.0727330E+02  7.2752990E+01
        16  2.9992903E+01  1.5364020E+01  7.9427422E+00  1.2101297E+02  6.2448463E+01
        17  2.9404055E+01  1.6433475E+01  9.8468924E+00  1.3411248E+02  2.9328440E+01
        18  3.0041643E+01  1.6040878E+01  1.2077875E+01  1.5403754E+02  1.9341431E+01
        19  2.9636410E+01  1.6543351E+01  1.4366015E+01  1.7886743E+02  1.1314239E+01
        20  2.8461319E+01  1.6872574E+01  1.5929155E+01  2.0597836E+02  0.0000000E+00
    i_traj     ihist     iproj    parent     ncoll   species       ibn  termflag
        15         1        16         0        11         1        12         1
         k              x              y              z          ptime         energy
         0 -4.3949127E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.0000000E+02
         1  1.3775993E+00  1.2817552E-15  0.0000000E+00  4.9524033E+00  4.7499011E+02
         2  3.9074121E+00  5.5811945E-01 -2.1485737E-01  1.0393347E+01  4.5381612E+02
         3  6.3424453E+00  6.2113542E-01 -5.9519639E-02  1.5623535E+01  3.1224630E+02
         4  8.2935260E+00  1.8991535E+00  8.3092819E-01  2.2074640E+01  2.2201716E+02
         5  1.0183250E+01  3.4814295E+00  1.2519699E-01  2.9931753E+01  1.8801871E+02
         6  1.1908850E+01  5.1516532E+00  5.2021397E-01  3.8040791E+01  1.1503022E+02
         7  1.2827892E+01  6.2326662E+00  2.3742639E+00  4.7993850E+01  4.7608945E+01
         8  1.5163141E+01  6.2838517E+00  2.7147451E+00  6.3662170E+01  3.0560320E+01
         9  1.7379672E+01  6.2446433E+00  3.8497226E+00  8.4324977E+01  2.1685875E+01
        10  1.9216226E+01  7.1886239E+00  4.1608094E+00  1.0489838E+02  3.9253196E+00
        11  1.9041937E+01  8.4935619E+00  3.8488380E+00  1.3633981E+02  4.4408921E-16
    i_traj     ihist     iproj    parent     ncoll   species       ibn  termflag
        16         1        17         0         9         1        10         1
         k              x              y              z          ptime         energy
         0 -4.3949127E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.0000000E+02
         1  2.4985026E-01  1.0313446E-15  0.0000000E+00  5.0838576E+00  4.9090007E+02
         2  2.5949815E+00  1.7818879E-01 -1.5117837E-01  9.9397933E+00  2.5411968E+02
         3  4.0013411E+00  2.0522272E+00 -7.7984736E-01  1.6889753E+01  1.6641399E+02
         4  4.7665117E+00  3.3808463E+00 -2.9738156E+00  2.6366963E+01  1.5667034E+02
         5  5.5525676E+00  4.9430224E+00 -4.4644091E+00  3.4757232E+01  7.6054605E+01
         6  6.7019997E+00  4.9409781E+00 -6.3630767E+00  4.6402281E+01  2.1414452E+01
         7  5.3736717E+00  5.9489028E+00 -7.7596118E+00  6.7967038E+01  1.2175415E+01
         8  3.2543440E+00  6.3655579E+00 -7.6749296E+00  9.6462911E+01  2.4247315E+00
         9  2.2104394E+00  5.3452963E+00 -7.1027579E+00  1.4305005E+02  0.0000000E+00
    i_traj     ihist     iproj    parent     ncoll   species       ibn  termflag
        17         1        18         0        11         1        12         1
         k              x              y              z          ptime         energy
         0 -4.3949127E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.0000000E+02
         1  3.5673281E-02  9.8378771E-16  0.0000000E+00  4.6066354E+00  2.5991141E+02
         2  1.6986329E+00  6.9007366E-01  1.8217470E+00  1.1859658E+01  2.3418666E+02
         3  3.0063470E+00  2.0657347E+00  3.6831300E+00  1.9789783E+01  2.2411788E+02
         4  4.6986732E+00  3.1506280E+00  5.2405504E+00  2.7544367E+01  2.0872933E+02
         5  6.7133585E+00  4.4364273E+00  6.2672111E+00  3.5765529E+01  1.9534251E+02
         6  8.7182790E+00  5.2822571E+00  7.6999160E+00  4.4276506E+01  1.8575769E+02
         7  1.0531086E+01  6.6061844E+00  8.7533175E+00  5.2585212E+01  1.6102839E+02
         8  1.1558176E+01  8.2157268E+00  1.0421198E+01  6.1713475E+01  1.3299959E+02
         9  1.3195336E+01  9.2071533E+00  1.2055702E+01  7.1688318E+01  1.0518780E+02
        10  1.3994640E+01  1.1064031E+01  1.3019649E+01  8.1676534E+01  2.0899313E+00
        11  1.4117380E+01  1.0251921E+01  1.3731782E+01  1.1632645E+02  4.4408921E-16
    i_traj     ihist     iproj    parent     ncoll   species       ibn  termflag
        18         1        19         0         6         1         7         1
         k              x              y              z          ptime         energy
         0 -4.3949127E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.0000000E+02
         1  2.0305412E+00  1.4267374E-15  0.0000000E+00  4.5357996E+00  1.3986396E+02
         2  2.8665871E+00  2.0718562E+00  7.7127408E-01  1.3666120E+01  1.1448673E+02
         3  4.1862871E+00  3.4364383E+00  2.0360321E+00  2.3415381E+01  2.0270712E+01
         4  3.3314038E+00  4.2137306E+00  3.3960637E+00  4.1583346E+01  5.7351687E+00
         5  1.8270752E+00  3.7457261E+00  3.1282847E+00  7.2286911E+01  1.5836126E-01
         6  1.9050806E+00  3.5449518E+00  3.1383623E+00  9.7162202E+01  2.7755576E-17
    i_traj     ihist     iproj    parent     ncoll   species       ibn  termflag
        19         1        20         0        14         1        15         1
         k              x              y              z          ptime         energy
         0 -4.3949127E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.0000000E+02
         1  1.2788342E+00  1.2598249E-15  0.0000000E+00  5.0837341E+00  4.8929339E+02
         2  3.8177697E+00  1.9338708E-02  1.5555066E-01  1.0329583E+01  4.6780551E+02
         3  6.3174394E+00  1.9950553E-01 -2.6900695E-01  1.5691498E+01  4.2776943E+02
         4  8.6738279E+00 -5.6290741E-02 -1.1644947E+00  2.1282469E+01  3.6097064E+02
         5  1.1124336E+01 -8.8579566E-01 -1.0611002E+00  2.7502017E+01  3.2181949E+02
         6  1.3606235E+01 -1.2552106E+00 -3.0701066E-01  3.4168502E+01  2.9904041E+02
         7  1.5741762E+01 -1.8306659E+00  1.1009992E+00  4.1087611E+01  2.8635551E+02
         8  1.7761453E+01 -2.7513245E+00  2.5014460E+00  4.8165108E+01  2.7782924E+02
         9  1.9804476E+01 -3.6387781E+00  3.3486853E+00  5.4692730E+01  2.0470947E+02
        10  2.1236314E+01 -5.6734156E+00  3.7246807E+00  6.2725719E+01  1.5640526E+02
        11  2.1721041E+01 -8.3219438E+00  3.5561831E+00  7.2581982E+01  1.4375860E+02
        12  2.2055656E+01 -1.0514514E+01  3.5026402E+00  8.1041177E+01  3.5358892E+01
        13  2.3720286E+01 -1.1365315E+01  3.4443355E+00  9.5444444E+01  2.3342429E+00
        14  2.3471514E+01 -1.2281630E+01  2.7755735E+00  1.3047881E+02  0.0000000E+00
 ende
          20   number history from SDTrimSP
