SDTrimSP: VERSION 6.03    17.06.2025
SDTrimSP-Ar-Ti -Panjan-ver3                                                     
      100000   maxnumber (backscattered-projectile)    
        1000         100   NH NR
      species     gen/coll      fluence   end-energy      x_start      y_start      z_start        x_end        y_end        z_end        x_max        y_max        z_max         cosp         cosa   pathlength e_transf_sum     e_transf   e_con_elec  e_transf>ED         time
            1            3  0.80000E-02  0.47572E+00 -0.43949E+01  0.00000E+00  0.00000E+00 -0.57148E+01 -0.28694E+00  0.88788E+00  0.57148E+01  0.21594E+01  0.96462E+00  0.98999E+00 -0.46585E+00  0.54138E+01  0.48917E+03  0.48400E+03  0.10358E+02  0.48181E+03  0.42455E+02
            1            4  0.80000E-02  0.25221E+01 -0.43949E+01  0.00000E+00  0.00000E+00 -0.44143E+01  0.50244E+01 -0.58162E+01  0.44143E+01  0.50244E+01  0.58162E+01  0.68146E+00  0.99652E+00  0.72852E+01  0.48781E+03  0.48066E+03  0.96644E+01  0.46452E+03  0.63178E+02
            1            4  0.80000E-02  0.10221E+02 -0.43949E+01  0.00000E+00  0.00000E+00 -0.57858E+01 -0.54228E+01 -0.39084E+01  0.57858E+01  0.54228E+01  0.39084E+01  0.84420E+00 -0.13281E+00  0.81023E+01  0.47671E+03  0.47173E+03  0.13074E+02  0.46479E+03  0.40399E+02
            1            4  0.80000E-02  0.82758E+01 -0.43949E+01  0.00000E+00  0.00000E+00 -0.60520E+01  0.38409E+01  0.22107E+01  0.60520E+01  0.51706E+01  0.22107E+01  0.98468E+00 -0.90859E+00  0.83165E+01  0.47935E+03  0.47073E+03  0.12379E+02  0.44701E+03  0.41954E+02
            1            5  0.90000E-02  0.30571E+02 -0.43949E+01  0.00000E+00  0.00000E+00 -0.60850E+01  0.13980E+02  0.92253E+01  0.60850E+01  0.13980E+02  0.92253E+01  0.70887E+00  0.77904E+00  0.11454E+02  0.45634E+03  0.45243E+03  0.13084E+02  0.42827E+03  0.57871E+02
            1            2  0.90000E-02  0.31858E+01 -0.43949E+01  0.00000E+00  0.00000E+00 -0.48412E+01  0.28973E+01 -0.21042E+01  0.48412E+01  0.28973E+01  0.21042E+01  0.80042E+00  0.46501E+00  0.00000E+00  0.48953E+03  0.48565E+03  0.72852E+01  0.47840E+03  0.44784E+01
            1            2  0.90000E-02  0.11972E+02 -0.43949E+01  0.00000E+00  0.00000E+00 -0.49876E+01  0.72661E+01  0.30699E+01  0.49876E+01  0.72661E+01  0.30699E+01  0.58205E+00  0.84114E+00  0.00000E+00  0.47912E+03  0.47696E+03  0.89095E+01  0.45928E+03  0.00000E+00
            1            1  0.90000E-02  0.64310E+01 -0.43949E+01  0.00000E+00  0.00000E+00 -0.55508E+01  0.17984E+01  0.81727E+01  0.55508E+01  0.17984E+01  0.81727E+01  0.65143E+00  0.94915E-01  0.33959E+00  0.48617E+03  0.48244E+03  0.73965E+01  0.48244E+03  0.44773E+01
            1            4  0.90000E-02  0.29573E+02 -0.43949E+01  0.00000E+00  0.00000E+00 -0.64410E+01  0.46885E+01  0.28237E+01  0.64410E+01  0.46885E+01  0.49759E+01  0.87944E+00  0.83850E+00  0.81361E+01  0.45630E+03  0.44722E+03  0.14126E+02  0.43709E+03  0.36237E+02
            1            7  0.10000E-01  0.12759E+02 -0.43949E+01  0.00000E+00  0.00000E+00 -0.51261E+01  0.12313E+02 -0.75734E+01  0.51261E+01  0.12313E+02  0.75734E+01  0.85053E+00  0.97721E+00  0.14477E+02  0.46640E+03  0.44872E+03  0.20837E+02  0.43175E+03  0.72979E+02
            1            5  0.10000E-01  0.13476E+02 -0.43949E+01  0.00000E+00  0.00000E+00 -0.47537E+01 -0.13809E+01 -0.12668E+02  0.47537E+01  0.42121E+01  0.12668E+02  0.55991E+00 -0.58654E+00  0.98325E+01  0.47133E+03  0.46430E+03  0.15196E+02  0.42179E+03  0.59181E+02
