Energy (Ti) [eV]	Probability (Ti) [1/eV]
111.9664983075	0.0	
112.70067729050001	0.0	
113.4348562735	0.0	
114.1690352565	3.084318031356728e-05	
114.9032142395	0.0	
115.63739322250001	0.0	
116.3715722055	1.542159015678394e-05	
117.1057511885	0.0	
117.83993017150001	1.542159015678364e-05	
118.57410915450001	1.542159015678394e-05	
119.3082881375	4.626477047035092e-05	
120.0424671205	1.542159015678394e-05	
120.77664610350001	0.0	
121.5108250865	0.0	
122.2450040695	1.542159015678364e-05	
122.9791830525	0.0	
123.71336203550001	0.0	
124.4475410185	0.0	
125.1817200015	0.0	
125.9158989845	0.0	
126.65007796750001	0.0	
127.3842569505	0.0	
128.1184359335	0.0	
128.8526149165	0.0	
129.5867938995	1.542159015678394e-05	
130.3209728825	0.0	
131.05515186550002	0.0	
131.78933084850001	0.0	
